ID_ENTIDAD,ID_DISTRITO,CI,PAN,PRI,PRD,PT,MORENA,PVEM
20,10,0,0,1,0,0,0,0
21,1,0,0,0,1,0,0,1
21,2,0,0,1,0,0,0,1
21,3,0,0,1,0,1,0,0
21,4,0,0,0,1,0,1,0
21,5,0,0,0,1,1,0,0
21,6,0,0,1,0,0,1,0
21,7,0,1,0,0,1,0,0
21,8,0,0,1,0,0,1,0
21,9,0,1,0,0,0,0,1
21,10,0,1,0,0,0,1,0
21,11,0,1,0,0,0,1,0
21,12,0,1,0,0,0,1,0
21,13,0,0,0,1,0,1,0
21,14,0,0,1,0,1,0,0
21,15,0,0,1,0,1,0,0
22,1,0,0,0,0,0,0,0
22,2,0,0,0,0,0,1,0
22,3,0,0,0,0,0,1,0
22,4,0,0,0,0,0,0,0
22,5,0,0,0,0,0,0,0
23,1,0,1,0,0,0,0,1
23,2,0,0,1,0,0,1,0
23,3,0,0,0,1,0,1,0
23,4,0,0,0,1,0,0,1
24,1,0,0,1,0,0,0,1
24,2,0,0,1,0,0,0,0
24,3,0,0,1,0,0,0,1
24,4,0,0,0,1,0,1,0
24,5,0,1,0,0,0,0,1
24,6,0,1,0,0,0,0,1
24,7,0,1,0,0,0,0,1
25,1,0,1,0,0,1,0,0
25,2,0,1,0,0,0,1,0
25,3,0,0,1,0,1,0,0
25,4,0,0,1,0,0,0,0
25,5,0,0,1,0,0,1,0
25,6,0,0,1,0,0,0,0
25,7,0,0,1,0,0,1,0
26,1,0,1,0,0,0,0,0
26,2,0,1,0,0,1,0,0
26,3,0,1,0,0,0,1,0
26,4,0,0,0,1,0,0,0
26,5,0,0,1,0,0,1,0
26,6,0,0,1,0,0,0,0
26,7,0,0,1,0,1,0,0
27,1,0,0,1,0,0,0,0
27,2,0,0,0,1,0,0,0
27,3,0,0,0,1,0,0,0
27,4,0,0,0,1,0,0,0
27,5,0,0,0,1,0,0,0
27,6,0,1,0,0,0,0,0
28,1,0,0,0,0,0,0,1
28,2,0,0,0,0,1,0,0
28,3,0,0,0,0,0,0,1
28,4,0,0,0,0,0,1,0
28,5,0,0,0,0,0,0,1
28,6,0,0,0,0,0,0,0
28,7,0,0,0,0,0,1,0
28,8,0,0,0,0,0,1,0
28,9,0,0,0,0,1,0,0
29,1,1,1,0,0,1,0,0
29,2,0,0,0,1,1,0,0
29,3,0,0,1,0,0,0,0
30,1,0,0,1,0,0,0,1
30,2,0,1,0,0,0,0,1
30,3,0,1,0,0,0,1,0
30,4,0,1,0,0,0,1,0
30,5,0,0,0,1,0,1,0
30,6,0,0,0,1,0,0,0
30,7,0,1,0,0,0,0,0
30,8,0,0,1,0,0,1,0
30,9,0,0,1,0,0,0,0
30,10,0,0,1,0,0,0,0
30,11,0,0,1,0,0,0,0
30,12,0,1,0,0,0,0,1
30,13,0,1,0,0,0,0,1
30,14,0,0,0,1,0,1,0
30,15,0,0,1,0,0,1,0
30,16,0,0,1,0,0,1,0
30,17,0,1,0,0,0,1,0
30,18,0,0,0,1,0,0,1
30,19,0,0,0,1,0,1,0
30,20,0,0,0,1,0,0,0
31,1,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,1
31,3,0,0,0,0,0,0,0
31,4,0,0,0,0,0,0,0
31,5,0,0,0,0,0,0,1
32,1,0,0,1,0,0,1,0
32,2,0,1,0,0,0,0,1
32,3,0,0,1,0,1,0,0
32,4,0,0,1,0,0,0,0
