CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PVEM|PT|MC|NVA_ALIANZA|MORENA|ES|PRI_PVEM_PT_NVA_ALIANZA|PRI_PVEM_PT|PRI_PVEM_NVA_ALIANZA|PRI_PT_NVA_ALIANZA|PVEM_PT_NVA_ALIANZA|PRI_PVEM|PRI_PT|PRI_NVA_ALIANZA|PVEM_PT|PVEM_NVA_ALIANZA|PT_NVA_ALIANZA|VOTOS_CAND_NREG_17ene16|VOTOS_VALIDOS_17ene16|VOTOS_NULOS_17ene16|VOTOS_TOTAL_17ene16|LISTA_NOMINAL_17ene16|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
5|6|COLIMA|1|COLIMA|1.00|COLIMA|3.00|URBANO(A)|B|123.00|85.00|6.00|1.00|9.00|53.00|14.00|6.00|1.00|2.00|1.00|0.00|1.00|0.00|5.00|0.00|1.00|0.00|0.00|0.00|0.00|308.00|7.00|315.00|529.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|3|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|3.00|URBANO(A)|C01|118.00|74.00|6.00|2.00|5.00|64.00|18.00|1.00|1.00|4.00|0.00|2.00|2.00|0.00|4.00|0.00|2.00|0.00|0.00|0.00|0.00|303.00|9.00|312.00|529.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|3|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|3.00|URBANO(A)|C02|127.00|109.00|7.00|0.00|4.00|43.00|15.00|2.00|0.00|3.00|0.00|0.00|0.00|0.00|2.00|1.00|2.00|0.00|0.00|0.00|0.00|315.00|11.00|326.00|529.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|3|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|4.00|URBANO(A)|B|177.00|148.00|3.00|5.00|2.00|91.00|36.00|5.00|0.00|10.00|1.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|480.00|4.00|484.00|679.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|4|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|5.00|URBANO(A)|B|135.00|111.00|10.00|8.00|3.00|66.00|8.00|4.00|0.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|349.00|6.00|355.00|547.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|5|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|6.00|URBANO(A)|B|102.00|140.00|3.00|4.00|2.00|92.00|11.00|1.00|0.00|3.00|0.00|0.00|1.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|361.00|3.00|364.00|572.00|ACTA DE CASILLA|||JE2015L_06_01_0006_1_B_0_2.jpg|1|6|1|COLIMA|6|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|6.00|URBANO(A)|C01|134.00|115.00|2.00|2.00|3.00|81.00|13.00|1.00|1.00|5.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|359.00|2.00|361.00|571.00|ACTA DE CASILLA|||JE2015L_06_01_0006_1_C_0_2.jpg|1|6|1|COLIMA|6|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|6.00|URBANO(A)|C02|151.00|129.00|2.00|4.00|1.00|84.00|11.00|2.00|0.00|8.00|0.00|2.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|395.00|5.00|401.00|571.00|RECUENTO(SRA)|||JE2015L_06_01_9_VR.pdf|1|6|1|COLIMA|6|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|7.00|URBANO(A)|B|87.00|64.00|0.00|2.00|3.00|50.00|21.00|2.00|1.00|6.00|0.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|238.00|4.00|243.00|395.00|ACTA DE CASILLA|||JE2015L_06_01_0007_1_B_0_2.jpg|1|2|1|COLIMA|7|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|7.00|URBANO(A)|C01|99.00|89.00|5.00|0.00|2.00|38.00|8.00|0.00|2.00|2.00|0.00|3.00|0.00|0.00|0.00|1.00|2.00|0.00|0.00|0.00|0.00|251.00|4.00|255.00|395.00|ACTA DE CASILLA|||JE2015L_06_01_0007_1_C_0_2.jpg|1|2|1|COLIMA|7|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|8.00|URBANO(A)|B|129.00|128.00|5.00|2.00|1.00|81.00|20.00|1.00|0.00|9.00|0.00|0.00|0.00|0.00|1.00|0.00|3.00|0.00|0.00|0.00|0.00|380.00|6.00|386.00|550.00|ACTA DE CASILLA|||JE2015L_06_01_0008_1_B_0_2.jpg|1|2|1|COLIMA|8|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|8.00|URBANO(A)|C01|117.00|118.00|6.00|0.00|1.00|79.00|24.00|5.00|0.00|3.00|0.00|2.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|356.00|6.00|362.00|550.00|ACTA DE CASILLA|||JE2015L_06_01_0008_1_C_0_2.jpg|1|2|1|COLIMA|8|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|9.00|URBANO(A)|B|82.00|107.00|2.00|1.00|1.00|76.00|13.00|2.00|0.00|5.00|0.00|2.00|1.00|0.00|2.00|0.00|1.00|0.00|0.00|0.00|1.00|295.00|3.00|299.00|447.00|ACTA DE CASILLA|||JE2015L_06_01_0009_1_B_0_2.jpg|1|2|1|COLIMA|9|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|9.00|URBANO(A)|C01|99.00|104.00|5.00|2.00|3.00|60.00|14.00|3.00|1.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|295.00|7.00|302.00|446.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|9|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|10.00|URBANO(A)|B|117.00|120.00|19.00|2.00|9.00|52.00|8.00|4.00|1.00|2.00|0.00|1.00|0.00|1.00|3.00|2.00|2.00|0.00|0.00|0.00|2.00|343.00|9.00|354.00|584.00|ACTA DE CASILLA|||JE2015L_06_01_0010_1_B_0_2.jpg|1|2|1|COLIMA|10|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|10.00|URBANO(A)|C01|127.00|89.00|11.00|2.00|6.00|68.00|8.00|4.00|2.00|5.00|0.00|2.00|1.00|0.00|3.00|1.00|1.00|0.00|0.00|0.00|1.00|330.00|7.00|338.00|584.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|10|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|11.00|URBANO(A)|B|122.00|145.00|5.00|5.00|2.00|72.00|14.00|1.00|2.00|7.00|0.00|0.00|1.00|0.00|2.00|1.00|1.00|0.00|0.00|0.00|2.00|380.00|7.00|389.00|584.00|ACTA DE CASILLA|||JE2015L_06_01_0011_1_B_0_2.jpg|1|2|1|COLIMA|11|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|12.00|URBANO(A)|B|75.00|98.00|2.00|1.00|6.00|73.00|12.00|2.00|0.00|1.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|272.00|0.00|272.00|397.00|ACTA DE CASILLA|||JE2015L_06_01_0012_1_B_0_2.jpg|1|6|1|COLIMA|12|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|12.00|URBANO(A)|C01|76.00|87.00|5.00|2.00|0.00|74.00|8.00|3.00|0.00|4.00|0.00|0.00|0.00|0.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|263.00|3.00|266.00|397.00|ACTA DE CASILLA|||JE2015L_06_01_0012_1_C_0_2.jpg|1|6|1|COLIMA|12|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|13.00|URBANO(A)|B|156.00|151.00|7.00|2.00|4.00|114.00|25.00|3.00|1.00|5.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|1.00|470.00|4.00|475.00|712.00|ACTA DE CASILLA|||JE2015L_06_01_0013_1_B_0_2.jpg|1|6|1|COLIMA|13|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|13.00|URBANO(A)|C01|139.00|180.00|6.00|2.00|5.00|129.00|26.00|5.00|1.00|2.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|497.00|2.00|500.00|712.00|ACTA DE CASILLA|||JE2015L_06_01_0013_1_C_0_2.jpg|1|6|1|COLIMA|13|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|14.00|URBANO(A)|B|111.00|81.00|10.00|3.00|5.00|41.00|20.00|2.00|0.00|6.00|0.00|0.00|0.00|0.00|1.00|0.00|2.00|0.00|0.00|0.00|0.00|282.00|6.00|288.00|453.00|ACTA DE CASILLA|||JE2015L_06_01_0014_1_B_0_2.jpg|1|2|1|COLIMA|14|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|14.00|URBANO(A)|C01|107.00|84.00|10.00|2.00|3.00|40.00|18.00|2.00|0.00|6.00|1.00|1.00|0.00|0.00|2.00|1.00|2.00|0.00|0.00|0.00|0.00|279.00|11.00|290.00|453.00|ACTA DE CASILLA|||JE2015L_06_01_0014_1_C_0_2.jpg|1|2|1|COLIMA|14|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|15.00|URBANO(A)|B|118.00|94.00|3.00|1.00|3.00|38.00|13.00|4.00|0.00|10.00|1.00|2.00|0.00|0.00|2.00|0.00|3.00|0.00|0.00|0.00|1.00|292.00|4.00|297.00|493.00|ACTA DE CASILLA|||JE2015L_06_01_0015_1_B_0_2.jpg|1|2|1|COLIMA|15|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|16.00|URBANO(A)|B|106.00|156.00|9.00|2.00|3.00|76.00|25.00|3.00|0.00|11.00|0.00|1.00|1.00|0.00|0.00|1.00|2.00|0.00|0.00|0.00|0.00|396.00|7.00|403.00|635.00|ACTA DE CASILLA|||JE2015L_06_01_0016_1_B_0_2.jpg|1|2|1|COLIMA|16|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|17.00|URBANO(A)|B|150.00|123.00|5.00|3.00|6.00|84.00|20.00|4.00|1.00|12.00|0.00|2.00|0.00|0.00|4.00|0.00|2.00|0.00|0.00|0.00|2.00|416.00|11.00|429.00|686.00|ACTA DE CASILLA|||JE2015L_06_01_0017_1_B_0_2.jpg|1|2|1|COLIMA|17|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|18.00|URBANO(A)|B|114.00|104.00|1.00|4.00|0.00|58.00|8.00|3.00|1.00|5.00|0.00|0.00|1.00|0.00|2.00|2.00|2.00|0.00|0.00|0.00|0.00|305.00|4.00|309.00|448.00|ACTA DE CASILLA|||JE2015L_06_01_0018_1_B_0_2.jpg|1|2|1|COLIMA|18|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|18.00|URBANO(A)|C01|110.00|95.00|1.00|4.00|3.00|55.00|22.00|7.00|1.00|3.00|0.00|0.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|303.00|5.00|308.00|447.00|ACTA DE CASILLA|||JE2015L_06_01_0018_1_C_0_2.jpg|1|2|1|COLIMA|18|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|19.00|URBANO(A)|B|99.00|131.00|2.00|4.00|5.00|71.00|20.00|2.00|0.00|3.00|1.00|0.00|1.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|341.00|6.00|347.00|475.00|ACTA DE CASILLA|||JE2015L_06_01_0019_1_B_0_2.jpg|1|2|1|COLIMA|19|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|19.00|URBANO(A)|C01|111.00|104.00|10.00|5.00|4.00|72.00|21.00|3.00|0.00|12.00|0.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|1.00|345.00|2.00|348.00|475.00|ACTA DE CASILLA|||JE2015L_06_01_0019_1_C_0_2.jpg|1|2|1|COLIMA|19|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|20.00|URBANO(A)|B|98.00|128.00|0.00|2.00|0.00|60.00|20.00|1.00|0.00|5.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|316.00|5.00|322.00|494.00|ACTA DE CASILLA|||JE2015L_06_01_0020_1_B_0_2.jpg|1|1|1|COLIMA|20|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|20.00|URBANO(A)|C01|106.00|112.00|4.00|0.00|7.00|82.00|15.00|0.00|0.00|6.00|0.00|0.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|334.00|3.00|337.00|493.00|ACTA DE CASILLA|||JE2015L_06_01_0020_1_C_0_2.jpg|1|1|1|COLIMA|20|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|21.00|URBANO(A)|B|143.00|114.00|2.00|1.00|4.00|79.00|8.00|3.00|0.00|4.00|1.00|0.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|1.00|361.00|3.00|365.00|536.00|ACTA DE CASILLA|||JE2015L_06_01_0021_1_B_0_2.jpg|1|1|1|COLIMA|21|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|21.00|URBANO(A)|C01|133.00|95.00|4.00|3.00|2.00|95.00|15.00|1.00|0.00|5.00|0.00|3.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|358.00|6.00|364.00|536.00|ACTA DE CASILLA|||JE2015L_06_01_0021_1_C_0_2.jpg|1|1|1|COLIMA|21|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|22.00|URBANO(A)|B|95.00|69.00|4.00|2.00|5.00|49.00|5.00|1.00|0.00|2.00|0.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|234.00|2.00|236.00|415.00|RECUENTO(SRA)|||JE2015L_06_01_9_VR.pdf|1|6|1|COLIMA|22|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|22.00|URBANO(A)|C01|78.00|67.00|5.00|2.00|8.00|58.00|11.00|3.00|1.00|4.00|1.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|1.00|0.00|0.00|241.00|1.00|242.00|414.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|6|1|COLIMA|22|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|23.00|URBANO(A)|B|143.00|86.00|5.00|2.00|15.00|71.00|12.00|1.00|0.00|4.00|0.00|0.00|0.00|0.00|2.00|0.00|2.00|0.00|0.00|0.00|0.00|343.00|8.00|351.00|674.00|ACTA DE CASILLA|||JE2015L_06_01_0023_1_B_0_2.jpg|1|3|1|COLIMA|23|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|23.00|URBANO(A)|C01|137.00|94.00|5.00|2.00|10.00|78.00|5.00|4.00|1.00|3.00|3.00|0.00|1.00|0.00|3.00|1.00|0.00|0.00|0.00|0.00|0.00|347.00|5.00|352.00|673.00|ACTA DE CASILLA|||JE2015L_06_01_0023_1_C_0_2.jpg|1|3|1|COLIMA|23|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|23.00|URBANO(A)|C02|130.00|87.00|6.00|3.00|10.00|66.00|5.00|2.00|3.00|6.00|0.00|0.00|0.00|0.00|4.00|0.00|0.00|0.00|0.00|0.00|0.00|322.00|6.00|328.00|673.00|ACTA DE CASILLA|||JE2015L_06_01_0023_2_C_0_2.jpg|1|3|1|COLIMA|23|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|24.00|URBANO(A)|B|158.00|88.00|11.00|2.00|24.00|73.00|10.00|1.00|1.00|3.00|0.00|0.00|0.00|0.00|0.00|2.00|1.00|0.00|0.00|0.00|0.00|374.00|12.00|386.00|667.00|ACTA DE CASILLA|||JE2015L_06_01_0024_1_B_0_2.jpg|1|3|1|COLIMA|24|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|24.00|URBANO(A)|C01|174.00|88.00|5.00|2.00|12.00|58.00|4.00|2.00|1.00|1.00|0.00|0.00|0.00|0.00|1.00|2.00|0.00|0.00|0.00|0.00|0.00|350.00|6.00|356.00|667.00|ACTA DE CASILLA|||JE2015L_06_01_0024_1_C_0_2.jpg|1|3|1|COLIMA|24|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|24.00|URBANO(A)|C02|135.00|83.00|1.00|3.00|13.00|70.00|6.00|1.00|2.00|5.00|1.00|0.00|1.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|323.00|5.00|328.00|667.00|ACTA DE CASILLA|||JE2015L_06_01_0024_2_C_0_2.jpg|1|3|1|COLIMA|24|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|24.00|URBANO(A)|C03|137.00|90.00|5.00|5.00|17.00|83.00|4.00|2.00|0.00|2.00|0.00|0.00|0.00|0.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|348.00|8.00|356.00|667.00|ACTA DE CASILLA|||JE2015L_06_01_0024_3_C_0_2.jpg|1|3|1|COLIMA|24|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|24.00|URBANO(A)|C04|158.00|87.00|6.00|1.00|20.00|69.00|6.00|0.00|1.00|2.00|0.00|1.00|1.00|0.00|0.00|2.00|1.00|0.00|0.00|0.00|0.00|355.00|11.00|366.00|667.00|ACTA DE CASILLA|||JE2015L_06_01_0024_4_C_0_2.jpg|1|3|1|COLIMA|24|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|24.00|URBANO(A)|C05|171.00|93.00|5.00|2.00|15.00|60.00|5.00|3.00|0.00|2.00|2.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|360.00|11.00|371.00|666.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|3|1|COLIMA|24|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|25.00|URBANO(A)|B|132.00|87.00|2.00|2.00|8.00|48.00|11.00|4.00|0.00|2.00|0.00|2.00|0.00|0.00|3.00|0.00|1.00|0.00|0.00|0.00|0.00|302.00|7.00|309.00|531.00|ACTA DE CASILLA|||JE2015L_06_01_0025_1_B_0_2.jpg|1|2|1|COLIMA|25|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|25.00|URBANO(A)|C01|116.00|100.00|9.00|1.00|4.00|56.00|12.00|1.00|1.00|0.00|0.00|2.00|0.00|0.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|306.00|7.00|313.00|531.00|ACTA DE CASILLA|||JE2015L_06_01_0025_1_C_0_2.jpg|1|2|1|COLIMA|25|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|26.00|URBANO(A)|B|114.00|85.00|4.00|1.00|1.00|47.00|12.00|2.00|0.00|5.00|0.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|273.00|5.00|278.00|451.00|ACTA DE CASILLA|||JE2015L_06_01_0026_1_B_0_2.jpg|1|2|1|COLIMA|26|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|26.00|URBANO(A)|C01|126.00|81.00|6.00|0.00|0.00|52.00|10.00|1.00|1.00|5.00|0.00|1.00|0.00|0.00|4.00|1.00|1.00|0.00|0.00|0.00|0.00|289.00|3.00|292.00|451.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|26|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|27.00|URBANO(A)|B|92.00|64.00|3.00|1.00|5.00|57.00|18.00|1.00|0.00|2.00|1.00|2.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|248.00|5.00|253.00|384.00|RECUENTO(SRA)|||JE2015L_06_01_9_VR.pdf|1|2|1|COLIMA|27|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|27.00|URBANO(A)|C01|92.00|63.00|4.00|2.00|3.00|55.00|12.00|4.00|0.00|3.00|0.00|0.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|240.00|4.00|244.00|384.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|27|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|28.00|URBANO(A)|B|101.00|107.00|4.00|3.00|0.00|67.00|29.00|2.00|1.00|2.00|0.00|1.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|319.00|8.00|327.00|512.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|28|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|28.00|URBANO(A)|S01|297.00|244.00|17.00|12.00|10.00|104.00|35.00|4.00|2.00|4.00|0.00|1.00|0.00|0.00|5.00|1.00|2.00|0.00|0.00|0.00|0.00|738.00|16.00|754.00|0.00|ACTA DE CASILLA|||JE2015L_06_01_0028_1_S_0_2.jpg|1|2|1|COLIMA|28|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|29.00|URBANO(A)|B|118.00|166.00|4.00|2.00|5.00|99.00|30.00|4.00|0.00|7.00|1.00|2.00|1.00|0.00|1.00|0.00|2.00|0.00|1.00|0.00|0.00|443.00|10.00|453.00|695.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|29|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|30.00|URBANO(A)|B|113.00|92.00|4.00|1.00|11.00|39.00|12.00|1.00|0.00|3.00|0.00|2.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|279.00|7.00|286.00|469.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|2|1|COLIMA|30|U|
