CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PVEM|PT|MC|NVA_ALIANZA|MORENA|PRI_PVEM_PT_NVA_ALIANZA|PRI_PVEM_PT|PRI_PVEM_NVA_ALIANZA|PRI_PT_NVA_ALIANZA|PVEM_PT_NVA_ALIANZA|PRI_PVEM|PRI_PT|PRI_NVA_ALIANZA|PVEM_PT|PVEM_NVA_ALIANZA|PT_NVA_ALIANZA|CAND_IND1|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|6.00|MIXTO(A)|C01|33.00|128.00|0.00|4.00|1.00|129.00|7.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|3.00|0.00|308.00|17.00|325.00|508.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010006C01.pdf|2|11|1|AHUMADA|6|M|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|6.00|MIXTO(A)|C02|37.00|103.00|0.00|2.00|3.00|130.00|4.00|0.00|0.00|0.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|8.00|0.00|289.00|6.00|295.00|508.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010006C02.pdf|2|11|1|AHUMADA|6|M|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|7.00|URBANO(A)|B|44.00|195.00|1.00|2.00|1.00|141.00|6.00|4.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|21.00|0.00|418.00|17.00|435.00|664.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010007B.pdf|2|11|1|AHUMADA|7|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|8.00|URBANO(A)|B|45.00|151.00|1.00|2.00|1.00|89.00|7.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|14.00|0.00|313.00|9.00|322.00|557.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010008B.pdf|2|11|1|AHUMADA|8|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|8.00|URBANO(A)|C01|36.00|180.00|1.00|0.00|1.00|90.00|8.00|0.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|1.00|0.00|1.00|0.00|22.00|0.00|342.00|17.00|359.00|557.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010008C01.pdf|2|11|1|AHUMADA|8|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|10.00|RURAL|B|4.00|42.00|0.00|0.00|0.00|19.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|69.00|1.00|70.00|195.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010010B.pdf|2|11|1|AHUMADA|10|R|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|11.00|RURAL|B|2.00|56.00|0.00|1.00|1.00|14.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|3.00|0.00|78.00|1.00|79.00|138.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010011B.pdf|2|11|1|AHUMADA|11|R|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|12.00|RURAL|B|7.00|97.00|0.00|1.00|1.00|19.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|2.00|0.00|130.00|2.00|132.00|224.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010012B.pdf|2|11|1|AHUMADA|12|R|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|13.00|RURAL|B|19.00|115.00|2.00|2.00|3.00|77.00|1.00|1.00|2.00|0.00|1.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|1.00|0.00|226.00|10.00|236.00|403.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010013B.pdf|2|11|1|AHUMADA|13|R|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|14.00|RURAL|B|18.00|136.00|1.00|1.00|1.00|44.00|8.00|0.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|4.00|0.00|215.00|6.00|221.00|400.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010014B.pdf|2|11|1|AHUMADA|14|R|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|15.00|RURAL|B|8.00|29.00|0.00|0.00|1.00|24.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|65.00|1.00|66.00|166.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010015B.pdf|2|11|1|AHUMADA|15|R|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|16.00|RURAL|B|14.00|53.00|0.00|0.00|0.00|24.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|4.00|0.00|98.00|1.00|99.00|246.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010016B.pdf|2|11|1|AHUMADA|16|R|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|17.00|URBANO(A)|B|231.00|69.00|30.00|1.00|1.00|1.00|5.00|5.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|58.00|0.00|402.00|5.00|407.00|719.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020017B.pdf|5|11|2|ALDAMA|17|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|17.00|URBANO(A)|C01|225.00|76.00|23.00|0.00|3.00|4.00|2.00|4.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|60.00|0.00|397.00|9.00|406.00|718.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020017C01.pdf|5|11|2|ALDAMA|17|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|17.00|URBANO(A)|C02|265.00|95.00|28.00|2.00|3.00|0.00|2.00|3.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|43.00|0.00|442.00|7.00|449.00|718.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020017C02.pdf|5|11|2|ALDAMA|17|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|17.00|URBANO(A)|C03|190.00|74.00|37.00|2.00|2.00|2.00|10.00|8.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|60.00|1.00|387.00|8.00|396.00|718.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020017C03.pdf|5|11|2|ALDAMA|17|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|18.00|URBANO(A)|B|175.00|46.00|27.00|0.00|2.00|1.00|4.00|8.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|30.00|0.00|294.00|8.00|302.00|530.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020018B.pdf|5|11|2|ALDAMA|18|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|18.00|URBANO(A)|C01|160.00|45.00|33.00|1.00|3.00|1.00|2.00|6.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|31.00|0.00|282.00|10.00|292.00|530.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020018C01.pdf|5|11|2|ALDAMA|18|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|18.00|URBANO(A)|C02|160.00|63.00|32.00|0.00|1.00|0.00|3.00|3.00|0.00|0.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|27.00|0.00|291.00|0.00|291.00|530.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020018C02.pdf|5|11|2|ALDAMA|18|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|19.00|URBANO(A)|B|250.00|70.00|12.00|0.00|1.00|2.00|4.00|2.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|46.00|0.00|389.00|12.00|401.00|678.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020019B.pdf|5|11|2|ALDAMA|19|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|19.00|URBANO(A)|C01|227.00|67.00|14.00|2.00|1.00|0.00|4.00|6.00|2.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|47.00|0.00|372.00|12.00|384.00|677.00|GRUPO DE RECUENTO|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AR2016GO110020019C01.pdf|5|11|2|ALDAMA|19|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|20.00|URBANO(A)|B|197.00|82.00|7.00|0.00|1.00|0.00|6.00|1.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|28.00|0.00|325.00|7.00|332.00|542.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020020B.pdf|5|11|2|ALDAMA|20|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|20.00|URBANO(A)|C01|217.00|73.00|19.00|0.00|1.00|1.00|5.00|4.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|23.00|1.00|345.00|4.00|350.00|542.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020020C01.pdf|5|11|2|ALDAMA|20|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|21.00|URBANO(A)|B|242.00|105.00|6.00|2.00|0.00|0.00|2.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|45.00|0.00|404.00|5.00|409.00|643.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020021B.pdf|5|11|2|ALDAMA|21|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|22.00|URBANO(A)|B|140.00|54.00|18.00|3.00|1.00|0.00|3.00|2.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|26.00|0.00|248.00|12.00|260.00|469.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020022B.pdf|5|11|2|ALDAMA|22|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|22.00|URBANO(A)|C01|142.00|52.00|18.00|1.00|2.00|1.00|3.00|3.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|25.00|1.00|248.00|8.00|257.00|469.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020022C01.pdf|5|11|2|ALDAMA|22|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|23.00|URBANO(A)|B|165.00|60.00|15.00|1.00|1.00|0.00|10.00|6.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|29.00|0.00|289.00|6.00|295.00|519.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020023B.pdf|5|11|2|ALDAMA|23|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|23.00|URBANO(A)|C01|160.00|52.00|23.00|2.00|1.00|1.00|6.00|7.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|31.00|0.00|285.00|9.00|294.00|519.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020023C01.pdf|5|11|2|ALDAMA|23|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|24.00|URBANO(A)|B|179.00|71.00|3.00|2.00|2.00|1.00|6.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|31.00|0.00|298.00|2.00|300.00|492.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020024B.pdf|5|11|2|ALDAMA|24|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|24.00|URBANO(A)|C01|170.00|73.00|10.00|0.00|1.00|0.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|32.00|0.00|291.00|4.00|295.00|491.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020024C01.pdf|5|11|2|ALDAMA|24|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|25.00|URBANO(A)|B|249.00|88.00|8.00|0.00|1.00|1.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|39.00|0.00|388.00|6.00|394.00|673.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020025B.pdf|5|11|2|ALDAMA|25|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|26.00|URBANO(A)|B|224.00|106.00|4.00|0.00|1.00|1.00|5.00|8.00|2.00|0.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|66.00|0.00|419.00|5.00|424.00|685.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020026B.pdf|5|11|2|ALDAMA|26|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|27.00|URBANO(A)|B|235.00|97.00|15.00|1.00|0.00|2.00|0.00|2.00|1.00|0.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|42.00|0.00|397.00|5.00|402.00|659.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020027B.pdf|5|11|2|ALDAMA|27|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|27.00|URBANO(A)|C01|219.00|84.00|20.00|2.00|3.00|0.00|4.00|2.00|0.00|2.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|40.00|0.00|377.00|9.00|386.00|659.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020027C01.pdf|5|11|2|ALDAMA|27|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|28.00|URBANO(A)|B|152.00|56.00|12.00|0.00|4.00|0.00|1.00|5.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|29.00|0.00|260.00|5.00|265.00|509.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020028B.pdf|5|11|2|ALDAMA|28|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|28.00|URBANO(A)|C01|165.00|60.00|26.00|1.00|1.00|3.00|2.00|1.00|0.00|0.00|1.00|0.00|0.00|3.00|0.00|1.00|0.00|0.00|0.00|38.00|0.00|302.00|9.00|311.00|509.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020028C01.pdf|5|11|2|ALDAMA|28|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|28.00|URBANO(A)|C02|164.00|76.00|15.00|3.00|1.00|1.00|1.00|5.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|28.00|0.00|295.00|10.00|305.00|509.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020028C02.pdf|5|11|2|ALDAMA|28|U|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|30.00|RURAL|B|64.00|55.00|4.00|0.00|0.00|0.00|0.00|8.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|8.00|0.00|139.00|5.00|144.00|259.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020030B.pdf|5|11|2|ALDAMA|30|R|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|31.00|RURAL|B|20.00|39.00|4.00|2.00|1.00|0.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|7.00|0.00|78.00|4.00|82.00|194.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020031B.pdf|5|11|2|ALDAMA|31|R|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|32.00|RURAL|B|114.00|92.00|29.00|0.00|0.00|0.00|0.00|5.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|8.00|0.00|248.00|6.00|254.00|578.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020032B.pdf|5|11|2|ALDAMA|32|R|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|34.00|RURAL|B|168.00|99.00|6.00|3.00|3.00|0.00|3.00|2.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|1.00|0.00|0.00|0.00|29.00|0.00|316.00|3.00|319.00|558.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020034B.pdf|5|11|2|ALDAMA|34|R|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|34.00|RURAL|C01|183.00|103.00|7.00|1.00|0.00|1.00|4.00|1.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|21.00|0.00|323.00|10.00|333.00|557.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020034C01.pdf|5|11|2|ALDAMA|34|R|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|34.00|RURAL|C02|178.00|91.00|11.00|0.00|0.00|2.00|1.00|4.00|0.00|0.00|1.00|1.00|0.00|2.00|1.00|0.00|0.00|0.00|0.00|24.00|0.00|316.00|8.00|324.00|557.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020034C02.pdf|5|11|2|ALDAMA|34|R|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|35.00|RURAL|B|119.00|42.00|1.00|0.00|0.00|0.00|0.00|6.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|3.00|1.00|171.00|0.00|172.00|295.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020035B.pdf|5|11|2|ALDAMA|35|R|
1|8|CHIHUAHUA|5|11.00|MEOQUI|2.00|ALDAMA|36.00|RURAL|B|54.00|24.00|4.00|1.00|0.00|0.00|0.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|6.00|0.00|92.00|4.00|96.00|166.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110020036B.pdf|5|11|2|ALDAMA|36|R|
