20
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PES|RSP|FPM|PANAL|CP|PAN_PRI_PRD_CP|PAN_PRI_PRD|PAN_PRI_CP|PAN_PRD_CP|PRI_PRD_CP|PAN_PRI|PAN_PRD|PAN_CP|PRI_PRD|PRI_CP|PRD_CP|PVEM_PT|CNR|NULOS|TOTAL|OPG|JRGC|AMC|MLRM|AEC|JLRC|JCMM|FJRA|JASG|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
24|1|11|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|54|30|6|2|2|2|2|2|2|2|2021|4|14|14|7|50|2|N
24|1|12|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|2|1|2|1|2|1|2|2|1|1|2|1|2|1|1|2|1|2|1|2|1|2|1|2|2|1|40|22|5|1|2|2|1|1|2|1|2021|4|14|14|9|53|2|N
24|1|13|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|2|3|2|3|2|3|2|2|3|2|3|2|3|2|2|3|2|3|2|3|2|3|2|3|2|3|66|36|8|3|2|2|3|2|3|2|2021|4|14|14|11|53|2|N
24|1|14|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|1|2|3|4|1|2|3|4|1|2|3|4|1|2|3|4|1|2|1|4|1|2|3|4|2|3|64|34|9|2|3|4|1|2|3|1|2021|4|14|14|13|22|2|N
24|1|117|B|1|0|3|750|6|1|0|0|1|ESTRATO_1|1|1|3|1|3|1|3|2|3|1|3|1|3|1|3|1|3|1|3|1|3|1|3|1|3|3|1|54|29|7|3|2|3|1|3|1|1|2021|4|14|14|19|9|2|N
24|1|118|B|1|0|3|750|6|1|0|0|1|ESTRATO_1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|81|45|9|3|3|3|3|3|3|3|2021|4|14|14|20|12|2|N
24|1|119|B|1|0|2|750|7|1|0|0|1|ESTRATO_1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|54|30|6|2|2|2|2|2|2|2|2021|4|14|14|21|30|2|N
24|1|120|B|1|0|1|750|7|1|0|0|1|ESTRATO_1|1|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|2|3|2|2|3|2|2|3|3|2|66|36|8|2|3|2|3|2|3|2|2021|4|14|14|23|31|2|N
24|1|1520|B|1|0|2|750|44|1|0|0|1|ESTRATO_1|1|2|5|2|5|2|5|2|5|2|5|2|5|2|5|2|5|2|5|2|5|2|5|2|5|5|2|93|51|12|5|2|5|2|5|2|2|2021|4|14|14|15|12|2|N
24|1|1600|B|1|0|3|750|48|1|0|0|1|ESTRATO_1|1|3|1|3|1|3|1|3|1|3|1|3|1|3|1|3|1|3|1|3|1|3|1|3|1|1|3|55|31|5|1|3|1|3|1|3|3|2021|4|14|14|17|1|2|N
